@relation tanks_data

@attribute Name STRING
@attribute Tier {'X', 'IX', 'VIII', 'VII', 'VI', 'V', 'IV', 'III', 'II', 'I'}
@attribute Premium {True, False}
@attribute Reward {True, False}
@attribute Event {True, False}
@attribute Nationality {'American', 'British', 'Soviet', 'Chinese', 'French', 'Czech', 'German', 'Italian', 'Japanese', 'Polish', 'Swedish'}
@attribute Type {'Heavy Tank', 'Medium Tank', 'Light Tank', 'Tank Destroyer', 'Artillery'}
@attribute DPM NUMERIC
@attribute Damage NUMERIC
@attribute Penetration (mm) NUMERIC
@attribute DPM at 500m (mm) NUMERIC
@attribute Reload time (sec) NUMERIC
@attribute Rate of fire (rnds/min) NUMERIC
@attribute Aim time (sec) NUMERIC
@attribute Dispersion NUMERIC
@attribute Dispersion damaged NUMERIC
@attribute Dispersion factors moving (+) NUMERIC
@attribute Dispersion factors tank traverse (+) NUMERIC
@attribute Dispersion factors turret traverse (+) NUMERIC
@attribute Dispersion factors after firing (+) NUMERIC
@attribute Dispersion factors damaged (×) NUMERIC
@attribute Damage vs. modules NUMERIC
@attribute Caliber (mm) NUMERIC
@attribute Shell velocity (m/s) NUMERIC
@attribute Max range (m) NUMERIC
@attribute Ammo capacity NUMERIC
@attribute Potential damage NUMERIC
@attribute Shell cost NUMERIC
@attribute Top speed (km/h) NUMERIC
@attribute Reverse speed (km/h) NUMERIC
@attribute Power (hp) NUMERIC
@attribute Power/weight (hp/t) NUMERIC
@attribute Tank traverse (°/sec) NUMERIC
@attribute Effective top speed hard (km/h) NUMERIC
@attribute Effective top speed medium (km/h) NUMERIC
@attribute Effective top speed soft (km/h) NUMERIC
@attribute Effective traverse hard (°/sec) NUMERIC
@attribute Effective traverse medium (°/sec) NUMERIC
@attribute Effective traverse soft (°/sec) NUMERIC
@attribute Terrain resistance hard NUMERIC
@attribute Terrain resistance medium NUMERIC
@attribute Terrain resistance soft NUMERIC
@attribute Gun elevation (°) NUMERIC
@attribute Gun depression (°) NUMERIC
@attribute Gun traverse (°/sec) NUMERIC
@attribute Gun traverse range (°) part 1 STRING
@attribute Gun traverse range (°) part 2 NUMERIC
@attribute Turret traverse (°/sec) NUMERIC
@attribute Hull armor (mm) part 1 NUMERIC
@attribute Hull armor (mm) part 2 NUMERIC
@attribute Hull armor (mm) part 3 NUMERIC
@attribute Turret armor (mm) part 1 NUMERIC
@attribute Turret armor (mm) part 2 NUMERIC
@attribute Turret armor (mm) part 3 NUMERIC
@attribute Track armor (mm) NUMERIC
@attribute Health NUMERIC
@attribute Engine health NUMERIC
@attribute Track health NUMERIC
@attribute Health repair time (sec) NUMERIC
@attribute Ammo rack health NUMERIC
@attribute Fuel tank health NUMERIC
@attribute Max load (kg) NUMERIC
@attribute Total weight (kg) NUMERIC
@attribute Stationary camo (%) part 1 NUMERIC
@attribute Stationary camo (%) part 2 NUMERIC
@attribute Moving camo (%) part 1 NUMERIC
@attribute Moving camo (%) part 2 NUMERIC
@attribute View range (m) NUMERIC
@attribute Radio range (m) NUMERIC
@attribute Fire chance (%) NUMERIC
@attribute Tank cost (silver) NUMERIC
@attribute Tank cost (gold) NUMERIC
@attribute Clip size NUMERIC
@attribute Clip damage part 1 NUMERIC
@attribute Clip damage part 2 NUMERIC
@attribute Intra-clip reload NUMERIC
@attribute Reload time (sec) (starting with an empty clip) part 1 NUMERIC
@attribute Reload time (sec) (starting with an empty clip) part 2 NUMERIC
@attribute Reload time (sec) (starting with an empty clip) part 3 NUMERIC
@attribute Reload time (sec) (starting with an empty clip) part 4 NUMERIC
@attribute Max wheel angle (°) NUMERIC
@attribute Axle count NUMERIC
@attribute Siege enabled (km/h) NUMERIC
@attribute Siege disabled (km/h) NUMERIC
@attribute Rocket boosters uses NUMERIC
@attribute Rocket boosters duration (sec) NUMERIC
@attribute Rocket boosters cooldown (sec) NUMERIC
@attribute Rocket boosters initial cooldown (s) NUMERIC
@attribute Track health part 1 NUMERIC
@attribute Track health part 2 NUMERIC
@attribute Health repair time (sec) part 1 NUMERIC
@attribute Health repair time (sec) part 2 NUMERIC
@attribute Reload time (sec) part 1 NUMERIC
@attribute Reload time (sec) part 2 NUMERIC
@attribute DPM alt. gun (sec) NUMERIC
@attribute DPM charge/lock (sec) part 1 NUMERIC
@attribute DPM charge/lock (sec) part 2 NUMERIC
@attribute Dispersion before cooldown NUMERIC
@attribute Cooldown delay (sec) NUMERIC
@attribute Ricochet angle (°) NUMERIC
@attribute DPM at 50m NUMERIC
@attribute DPM at 50m at 500m NUMERIC
@attribute Damage at 50m NUMERIC
@attribute DPM at 50m at 500m (mm) NUMERIC
@attribute Dispersion factors at 500m NUMERIC
@attribute Explosion radius (m) NUMERIC
@attribute Stun duration (s) STRING
@attribute Shell gravity (m/s²) NUMERIC
@attribute Ballistic range (m) NUMERIC
@attribute DPM burst size NUMERIC
@attribute DPM burst damage part 1 NUMERIC
@attribute DPM burst damage part 2 STRING
@attribute Normalization (°) NUMERIC
@attribute Tank cost in NA NUMERIC
@attribute View range (m) in EU NUMERIC
@attribute View range (m) in Asia NUMERIC
@attribute Reload time (sec) (starting with an empty clip) part 5 NUMERIC
@attribute DPM at 400m (mm) NUMERIC

@data
'UDES 03','VIII',False,False,False,'Swedish','Tank Destroyer',2086,390,288,278,11.22,5.35,2.88,0.34,0.67,0.30,0.20,0.20,3,2,150,105,1385,720,40,15600,1160,70,50,540,25.89,29.20,60.63,56.30,32.84,30.29,28.13,16.41,1.56,1.68,2.88,20,0,12,'-2',2,16.69,20,20,20,0,0,0,20,1000,360,220,12.29,240,175,24000,20860,26.11,5.17,15.68,3.10,350,886.55,10,2620000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'WZ-111-1G FT','VIII',False,False,False,'Chinese','Tank Destroyer',2503.20,560,271,253,13.42,4.47,2.68,0.35,0.69,0.24,0.24,0.10,4,2,180,130,930,720,25,14000,1215,35,18,700,15.56,26.07,35,35,25.74,31.18,24.50,14.91,1.05,1.34,2.21,15,6,25,'-12',12,27.12,195,80,60,0,0,0,20,1250,360,200,12.03,200,200,48000,45000,16.70,2.56,10.03,1.53,370,750,12,2520000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'WZ-120-1G FT','VIII',True,False,False,'Chinese','Tank Destroyer',2809.71,440,248,234,9.40,6.39,2.78,0.35,0.71,0.20,0.20,0.16,3.50,2,165,122,1000,720,35,15400,1065,50,20,640,17.78,43.81,50,50,33.83,41.62,34.68,20.81,0.96,1.15,1.92,15,6,26.25,'-10',10,45.89,120,80,45,0,0,0,20,1100,360,200,10.03,180,175,39000,36000,23.09,4.16,13.85,2.49,380,600,12,?,9100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'WZ-120-1G FT FL','VIII',True,False,False,'Chinese','Tank Destroyer',2809.71,440,248,234,9.40,6.39,2.78,0.35,0.71,0.20,0.20,0.16,3.50,2,165,122,1000,720,35,15400,1065,50,20,640,17.78,43.81,50,50,33.83,41.62,34.68,20.81,0.96,1.15,1.92,15,6,26.25,'-10',10,45.89,120,80,45,0,0,0,20,1100,360,200,10.03,180,175,39000,36000,23.09,4.16,13.85,2.49,380,600,12,?,9100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'XM57','VIII',True,False,False,'American','Tank Destroyer',2075.02,630,270,254,18.22,3.29,3.07,0.43,0.86,0.28,0.28,0.08,4,2,210,155,900,720,30,18900,1650,24,12,810,13.50,22.95,24,24,16.06,21.80,19.07,9.54,1.34,1.53,3.07,15,7,23.63,'-75',75,22.95,120.7,88.9,38.1,304.8,101.6,38.1,20,1300,285,200,12.03,240,200,65000,60000,16.36,2.21,9.80,1.32,370,745,20,?,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'XM66F','VIII',True,False,False,'American','Tank Destroyer',2634.95,400,232,220,9.11,6.59,1.92,0.36,0.73,0.18,0.18,0.10,4,2,165,120,1067,720,40,16000,1160,35,15,850,15.45,27.12,35,35,18.38,25.76,22.54,11.27,1.34,1.53,3.07,20,10,26.25,'-30',30,16.69,95,50,40,230,120,40,20,1300,260,200,12.03,240,200,60000,55000,14.08,2.53,8.44,1.52,380,750,10,?,8600,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Aufklärungspanzer V','VIII',True,False,False,'German','Light Tank',2107.29,165,221,197,4.70,12.77,1.44,0.29,0.58,0.14,0.14,0.05,2,2,100,75,1260,720,75,12375,270,60,22,1220,29.23,45.89,60,60,49.44,43.60,38.74,19.38,0.96,1.08,2.16,20,10,35,'-180',180,45.89,85,50,40,50,30,30,25,1100,320,220,10.03,200,200,45000,41745,9.63,2.50,9.63,2.50,400,740.53,20,?,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Bat.-Châtillon 12 t','VIII',False,False,False,'French','Light Tank',1829.67,170,170,148,16.30,10.76,1.92,0.36,0.73,0.14,0.14,0.10,4,2,100,75,1000,720,52,8840,210,68,23,400,33.33,43.81,68,68,68,50.06,43.81,25.03,0.84,0.96,1.68,13,6,35,'-180',180,47.98,40,20,20,25,25,25,20,1000,260,200,10.03,220,175,15000,12000,18.35,4.29,18.35,4.29,380,750,20,2370000,?,4,680,6,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'ELC EVEN 90','VIII',True,False,False,'French','Light Tank',1172.88,220,175,158,28.76,5.33,2.78,0.36,0.73,0.19,0.19,0.16,4,2,122,90,760,720,45,9900,280,70,20,160,23.88,46.93,70,70,64.92,46.93,41.07,23.47,0.67,0.77,1.34,13,9,35,'-180',180,47.98,15,10,10,15,10,10,10,900,260,200,10.03,220,175,8000,6700,22.12,5.53,22.12,5.53,380,745,20,?,5800,3,660,5,2.50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'ELC EVEN 90 FL','VIII',True,False,False,'French','Light Tank',1172.88,220,175,158,28.76,5.33,2.78,0.36,0.73,0.19,0.19,0.16,4,2,122,90,760,720,45,9900,280,70,20,160,23.88,46.93,70,70,64.92,46.93,41.07,23.47,0.67,0.77,1.34,13,9,35,'-180',180,47.98,15,10,10,15,10,10,10,900,260,200,10.03,220,175,8000,6700,22.12,5.53,22.12,5.53,380,745,20,?,5800,3,660,5,2.50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'FV1066 Senlac','VIII',True,False,False,'British','Light Tank',2048.07,180,189,167,5.27,11.38,1.73,0.34,0.67,0.12,0.12,0.10,3.50,2,118,83.40,1020,720,45,8100,310,65,23,710,35.15,46.93,65,65,65,46.93,41.07,23.47,0.67,0.77,1.34,14,10,40.25,'-180',180,47.98,22,20,11,32,20,15,10,1050,247,200,10.03,220,175,22000,20200,14.59,3.28,14.59,3.28,410,700,20,?,5800,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'HWK 12','VIII',False,False,False,'German','Light Tank',1950.55,240,180,160,7.38,8.13,1.92,0.35,0.69,0.10,0.10,0.12,4,2,122,90,630,720,50,12000,315,65,23,450,36.01,45.89,65,65,57.71,57.47,51.73,27.22,1.08,1.20,2.28,15,10,35,'-180',180,45.89,14.5,14.5,14.5,15,10,10,10,1100,320,200,10.03,200,175,15000,12495,16.64,3.96,16.64,3.96,410,745,12,2440000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'HWK 30','VIII',True,False,False,'German','Light Tank',2086,240,187,176,6.90,8.69,2.01,0.35,0.69,0.12,0.12,0.10,3.50,2,122,90,1080,720,50,12000,390,70,24,800,28.57,52.15,70,70,67.96,49.54,44.04,24.77,0.77,0.86,1.53,18,10,35,'-180',180,43.81,25,20,8,20,20,20,20,1150,360,220,10.03,200,200,30000,28000,15.16,3.61,15.16,3.61,410,745,10,?,5800,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5,?,?,?,?,?
'Leichter Kpz. 70 (K)','VIII',True,False,False,'German','Light Tank',1766.96,240,190,180,8.15,7.36,2.01,0.32,0.63,0.12,0.12,0.10,3.50,2,122,90,1000,720,50,12000,390,60,20,700,28,52.15,60,60,60,49.54,42.46,24.77,0.58,0.67,1.15,20,10,35,'-180',180,41.72,30,15,15,40,25,20,20,1150,360,220,10.03,200,175,28000,25000,16.64,3.96,16.64,3.96,380,750,12,?,7350,?,?,?,?,?,?,?,?,?,?,10,26,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5
'leKpz M 41 90 mm','VIII',True,False,False,'German','Light Tank',2275.64,240,182,168,6.33,9.48,1.73,0.36,0.73,0.14,0.14,0.08,3.50,2,122,90,830,720,46,11040,280,72.40,24,528.64,22.50,56.32,72.40,72.40,71.35,53.51,45.86,26.75,0.58,0.67,1.15,17,8,35,'-180',180,52.15,25.4,25.4,19.1,25.4,25.4,25.4,20,1100,234,220,10.03,200,150,26000,23500,14.19,3.38,14.19,3.38,400,745,20,?,5800,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'leKpz M 41 90 mm GF','VIII',True,False,False,'German','Light Tank',2275.64,240,182,168,6.33,9.48,1.73,0.36,0.73,0.14,0.14,0.08,3.50,2,122,90,830,720,46,11040,280,72.40,24,528.64,22.50,56.32,72.40,72.40,71.35,53.51,45.86,26.75,0.58,0.67,1.15,17,8,35,'-180',180,52.15,25.4,25.4,19.1,25.4,25.4,25.4,20,1100,234,220,10.03,200,150,26000,23500,14.19,3.38,14.19,3.38,400,745,20,?,5800,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'LHMTV','VIII',False,False,False,'British','Light Tank',1439.34,230,226,211,9.59,6.26,2.11,0.35,0.71,0.16,0.16,0.12,4,2,118,83.40,1020,720,25,5750,560,63,23,160,33.33,43.81,63,63,63,44.83,39.23,22.41,0.67,0.77,1.34,15,10,40.25,'-180',180,44.85,30,20,15,60,25,20,15,1050,247,200,10.03,220,175,5500,4801,19.49,4.64,19.49,4.64,380,700,20,2520000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'LT-432','VIII',True,False,False,'Soviet','Light Tank',2166.23,180,176,158,4.99,12.03,1.92,0.36,0.73,0.10,0.10,0.08,4,2,115,85,1150,720,50,9000,220,70,23,900,33.33,50.06,70,70,70,50.06,45.06,28.16,0.86,0.96,1.53,15,7,39.38,'-180',180,50.06,70,40,40,160,100,60,20,1100,370,200,10.03,180,175,30000,27000,18.58,4.18,18.58,4.18,380,850,12,?,5800,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'LTS-85','VIII',True,False,False,'Soviet','Light Tank',1500,300,190,170,12,5,2.21,0.42,0.84,0.12,0.12,0.06,4,2,135,100,1027,720,40,12000,605,65,23,700,29.17,52.15,65,65,65,52.15,45.63,30.42,0.67,0.77,1.15,20,7,33.25,'-180',180,50.06,40,30,20,80,50,20,20,1150,370,200,10.03,180,200,33000,24000,15.62,3.09,15.62,3.09,390,760,12,?,7000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'LTTB','VIII',False,False,False,'Soviet','Light Tank',2086,180,170,162,5.18,11.59,2.01,0.35,0.69,0.12,0.12,0.08,4,2,115,85,1050,720,42,7560,220,68,20,770,33.95,50.06,68,68,68,63.17,56.86,35.53,0.90,1,1.60,15,5,39.38,'-180',180,50.06,90,45,40,90,75,52,15,1050,370,200,10.03,180,175,24000,22680,15.39,3.66,15.39,3.66,380,761.39,12,2410000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'M41 Walker Bulldog','VIII',False,False,False,'American','Light Tank',2364.13,170,180,170,4.31,13.91,1.63,0.34,0.67,0.12,0.12,0.08,3,2,105,76,1219,720,65,11050,205,68,24,800,34.05,58.41,68,68,68,73.13,60.94,33.24,0.48,0.58,1.05,20,10,40.25,'-180',180,52.15,25.4,25.4,19.1,25.4,25.4,25.4,20,1000,260,200,10.03,220,175,26000,23496,14.25,3.33,14.25,3.33,400,745,20,2400000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'M41 Walker Bulldog FL','VIII',True,False,False,'American','Light Tank',2364.13,170,180,170,4.31,13.91,1.63,0.34,0.67,0.12,0.12,0.08,3,2,105,76,1219,720,65,11050,205,68,24,800,34.05,58.41,68,68,68,55.49,46.24,25.22,0.48,0.58,1.05,20,10,40.25,'-180',180,52.15,25.4,25.4,19.1,25.4,25.4,25.4,20,1000,260,200,10.03,220,175,26000,23496,14.25,3.33,14.25,3.33,400,745,20,10000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'M41D','VIII',True,False,False,'Chinese','Light Tank',2312.74,170,192,177,4.41,13.60,1.44,0.34,0.67,0.14,0.14,0.06,3,2,105,76,1257,720,65,11050,230,68,24,780,31.20,56.32,68,68,68,53.51,45.86,26.75,0.58,0.67,1.15,19,9,40.25,'-180',180,52.15,25.4,25.4,19.1,25.4,25.4,25.4,20,1100,234,220,10.03,200,175,28000,25000,14.19,3.32,14.19,3.32,410,777.03,10,?,5800,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Panhard AML Lynx 6x6','VIII',False,False,False,'French','Light Tank',1749.70,240,182,146,8.23,7.29,1.53,0.38,0.77,0.09,0.09,0.05,3,2,122,90,1163,720,38,9120,374,58,40,285,34.71,35.46,58,58,58,39.07,39.07,39.07,0.60,0.60,0.60,15,8,35,'-180',180,62.58,13,13,13,16,13,13,5,920,260,200,25.06,220,175,9500,8210,18.81,4.48,18.81,4.48,310,777.03,20,2350000,?,?,?,?,?,?,?,?,?,27,3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Panhard EBR 75 (FL 10)','VIII',True,False,False,'French','Light Tank',1909.09,175,180,144,9.50,10.91,1.15,0.36,0.73,0.08,0.08,0.04,3,2,100,75,1300,720,56,9800,230,60,60,525,35,35.46,60,60,60,35.46,35.46,35.46,0.60,0.60,0.60,12,8,35,'-180',180,68.84,40,16,40,40,20,20,5,950,260,200,25.06,220,175,17000,15000,19.66,4.60,19.66,4.60,310,782.25,20,?,6300,2,350,1.5,1.50,?,?,?,?,33,4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'T-44 lightweight','VIII',True,False,False,'Soviet','Light Tank',2346.75,180,182,168,4.60,13.04,1.82,0.38,0.77,0.12,0.12,0.08,2,2,115,85,900,720,51,9180,220,68,24,850,27.10,52.15,68,68,59.30,52.15,46.93,26.82,0.86,0.95,1.67,20,5,39.38,'-180',180,46.93,90,75,45,120,90,75,20,1100,190,200,10.03,180,150,33300,31370,16.87,4.22,16.87,4.22,390,700,15,?,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'T92','VIII',True,False,False,'American','Light Tank',2086,150,189,182,4.31,13.91,1.73,0.36,0.73,0.08,0.08,0.05,3,2,105,76,1219,720,60,9000,270,60,25,600,35.32,57.36,60,60,60,54.50,40.87,14.86,0.36,0.48,1.32,20,10,40.25,'-180',180,52.15,31.8,25.4,19.1,28.6,28.6,28.6,20,1000,260,200,10.03,220,175,20000,16987,18.24,4.27,18.24,4.27,400,745,20,?,5800,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Vz. 64 Blesk','VIII',False,False,False,'Czech','Light Tank',2177.40,6,163,152,19.18,362.90,2.30,0.40,0.81,0.14,0.14,0.10,3,2,3,37,900,720,2240,13440,8,60,21,420,28,44.85,60,60,60,46.75,38.96,21.25,0.48,0.58,1.05,25,10,43.75,'-180',180,52.15,15,15,12,20,20,15,10,1000,255,200,10.03,220,175,17000,15000,18.24,2.46,18.24,2.46,380,730,15,2614000,?,140,840,3.97,0.03,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Vz. 68 Squall','VIII',True,False,False,'Czech','Light Tank',2107.53,8,182,168,19.18,263.44,2.11,0.38,0.77,0.12,0.12,0.08,3,2,4,50,750,720,1600,12800,12,53,21,525,25,41.72,53,53,53,39.63,29.73,10.81,0.29,0.38,1.05,20,6,43.75,'-180',180,43.81,20,20,20,30,20,20,10,1100,255,200,10.03,220,175,24000,21000,18.24,2.12,18.24,2.12,380,730,15,?,100,100,800,3.6,0.04,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'WZ-132','VIII',False,False,False,'Chinese','Light Tank',2005.77,250,189,167,7.48,8.02,2.21,0.38,0.77,0.12,0.12,0.08,4,2,135,100,920,720,43,10750,252,64,23,700,28.79,58.41,64,64,64,71.90,59.92,27.65,0.48,0.58,1.25,20,5,33.25,'-180',180,50.06,50,25,20,55,35,20,15,1100,260,200,10.03,180,175,26500,24312,16.70,3.49,16.70,3.49,380,782.25,12,2400000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'WZ-132 FL','VIII',True,False,False,'Chinese','Light Tank',2005.77,250,189,167,7.48,8.02,2.21,0.38,0.77,0.12,0.12,0.08,4,2,135,100,920,720,43,10750,252,64,23,700,28.79,58.41,64,64,64,58.41,48.67,22.46,0.48,0.58,1.25,20,5,33.25,'-180',180,50.06,50,25,20,55,35,20,15,1100,260,200,10.03,180,175,26500,24312,16.70,3.49,16.70,3.49,380,782.25,12,10000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'FV207','VIII',False,False,False,'British','Artillery',1355.90,650,38,?,28.76,2.09,4.31,0.62,1.25,0.30,0.30,0.44,5,2,102,152.40,480,?,48,31200,1220,29,10,792.96,13.22,20.86,29,29,20.12,20.93,18.14,10.88,1.25,1.44,2.40,50,1,22.75,'-22',22,16.69,50.8,50.8,50.8,0,0,0,25,430,320,140,12.81,134,150,63000,60000,7.70,1.10,3.82,0.55,265,750,20,2730000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7.60,'12.5 – 25',164,1404.88,?,?,?,?,?,?,?,?,?
'G.W. Tiger (P)','VIII',False,False,False,'German','Artillery',1224.39,900,53,?,44.10,1.36,4.99,0.76,1.51,0.32,0.32,0.52,6,2,140,210,435,?,15,13500,2080,35,10,676.66,9.13,16.69,26.72,23.15,13.89,17.08,14.80,8.88,1.25,1.44,2.40,48,2,17.5,'-5',5,10.43,100,80,16,0,0,0,25,440,260,160,14.04,120,150,78000,74150,3.19,0.27,1.60,0.14,290,740.53,20,2650000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11.40,'12.4 – 31',142,1332.57,?,?,?,?,?,?,?,?,?
'Lorraine 155 mle. 51','VIII',False,False,False,'French','Artillery',1418.48,680,45,?,28.76,2.09,5.27,0.63,1.27,0.30,0.30,0.42,6,2,105,155,475,?,28,19040,1120,60,14,898.69,26.21,29.20,60,60,43.36,32.42,27.79,16.91,1.15,1.34,2.21,45,0,22.75,'-15',15,14.60,40,30,25,0,0,0,20,390,320,130,12.44,120,150,36500,34294,11,1.57,5.53,0.79,270,750,20,2550000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7.60,'12.15 – 27',165,1367.42,?,?,?,?,?,?,?,?,?
'M40/M43','VIII',False,False,False,'American','Artillery',1224.39,900,52,?,44.10,1.36,5.08,0.74,1.48,0.34,0.34,0.47,6,2,130,203,440,?,16,14400,1870,38.60,10,528.64,14.22,22.95,38.60,36.08,21.65,26.89,23.31,13.98,1.25,1.44,2.40,55,5,17.5,'-18',18,10.43,108,12.7,12.7,0,0,0,20,400,234,130,12.44,134,150,39500,37172,10.54,0.91,5.30,0.46,290,782.25,20,2700000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10.50,'12.6 – 28',145,1335.17,?,?,?,?,?,?,?,?,?
